,file,ut_epoch,ra,dec,jd,bjd
136,AR_Per_02.fits,2012-12-21 04:27:07.07,04:18:10.40,+47:20:05.0,2456282.6854984956,2456282.691126706
137,TT_Lyn_02.fits,2012-12-23 08:01:35.64,09:03:53.80,+44:26:29.90,2456284.834440278,2456284.839465646
138,AR_Per_14.fits,2012-12-24 06:48:31.97,04:18:13.60,+47:20:02.30,2456285.7837033565,2456285.7892347286
139,BH_Peg_01.fits,2013-07-24 09:36:23.75,22:53:47.40,+15:46:56.50,2456497.9002748844,2456497.9045969616
140,T_Sex__02.fits,2012-12-23 08:37:39.81,09:54:11.60,+01:54:59.40,2456284.8594885417,2456284.8632060685
141,TU_UMa_05.fits,2012-12-24 10:56:11.48,11:30:27.00,+29:54:31.70,2456285.955688426,2456285.958417875
142,UY_Cam_03.fits,2012-12-21 11:42:17.23,08:00:20.00,+72:37:56.80,2456282.987699421,2456282.991970272
143,RU_Psc_17.fits,2013-07-26 09:53:30.55,01:15:14.00,+24:24:42.30,2456499.9121591435,2456499.913588945
144,VX_Her_21.fits,2013-07-26 05:47:09.11,16:31:27.50,+18:16:14.30,2456499.741077662,2456499.7440629117
145,X_Ari__10.fits,2012-12-28 05:27:33.93,03:09:19.40,+10:25:05.60,2456289.7274760418,2456289.7319444823
146,RU_Psc_01.fits,2012-12-24 04:10:12.48,01:15:13.20,+24:23:58.30,2456285.6737555554,2456285.6767611224
147,TW_Lyn_05.fits,2012-12-27 07:03:25.95,07:45:56.30,+42:58:47.50,2456288.794050347,2456288.799931464
148,X_Ari__06.fits,2012-12-24 05:08:25.71,03:09:18.00,+10:24:42.70,2456285.7141864584,2456285.718948371
149,AV_Peg_06.fits,2013-07-25 08:51:36.36,21:52:44.90,+22:34:06.10,2456498.8691708334,2456498.873874892
150,AV_Peg_07.fits,2013-07-25 10:17:00.98,21:52:49.10,+22:34:03.0,2456498.928483565,2456498.9331899458
151,X_Ari__07.fits,2012-12-25 04:38:45.65,03:09:16.70,+10:25:06.90,2456286.693583912,2456286.6982756876
152,TW_Lyn_04.fits,2012-12-27 06:28:12.04,07:45:56.50,+42:58:52.30,2456288.769583796,2456288.7754642637
