Unnamed: 0,file,ut_epoch,ra,dec,jd,bjd,star_match,spec_bjd,photo_bjd,T_final,err_tot,phasemod,baseline_time,baseline_div_period
92,TU_UMa_03.fits,2012-12-23 11:11:31.88,11:30:27.20,+29:54:33.90,2456284.9663412035,2456284.9689861867,TU UMa,2456284.9689861867,2456679.732558084,0.55765563305,1.4899991772622306e-05,0.10152556259265566,-394.7635718975216,-707.8984744374073
157,TU_UMa_04.fits,2012-12-23 11:22:37.61,11:30:27.00,+29:54:33.90,2456284.974046412,2456284.9766921215,TU UMa,2456284.9766921215,2456679.732558084,0.55765563305,1.4899991772622306e-05,0.11534400959601498,-394.75586596271023,-707.884655990404
141,TU_UMa_05.fits,2012-12-24 10:56:11.48,11:30:27.00,+29:54:31.70,2456285.955688426,2456285.958417875,TU UMa,2456285.958417875,2456679.732558084,0.55765563305,1.4899991772622306e-05,0.8757956137181964,-393.7741402089596,-706.1242043862818
23,TU_UMa_06.fits,2012-12-24 12:06:15.79,11:30:26.70,+29:54:30.80,2456286.004349421,2456286.0070831086,TU UMa,2456286.0070831086,2456679.732558084,0.55765563305,1.4899991772622306e-05,0.9630631504162466,-393.7254749755375,-706.0369368495838
19,TU_UMa_07.fits,2012-12-24 12:50:19.08,11:30:28.10,+29:54:04.90,2456286.034943056,2456286.037678705,TU UMa,2456286.037678705,2456679.732558084,0.55765563305,1.4899991772622306e-05,0.01792782782786162,-393.69487937912345,-705.9820721721721
165,TV_Lyn_01.fits,2012-12-24 07:19:19.57,07:34:23.50,+47:40:11.70,2456285.8050876157,2456285.8108086605,TV Lyn,2456285.8108086605,2456311.673919395,0.24065036129999998,3.3692460144678338e-06,0.5282696651597405,-25.863110734615475,-107.47173033484026
165,TV_Lyn_01.fits,2012-12-24 07:19:19.57,07:34:23.50,+47:40:11.70,2456285.8050876157,2456285.8108086605,TV Lyn,2456285.8108086605,2456624.804213365,0.24065036129999998,3.3692460144678338e-06,0.3447090901509,-338.99340470461175,-1408.655290909849
7,TV_Lyn_02.fits,2012-12-24 07:44:38.95,07:34:23.10,+47:40:08.20,2456285.8226730325,2456285.8283945518,TV Lyn,2456285.8283945518,2456311.673919395,0.24065036129999998,3.3692460144678338e-06,0.601346186649053,-25.845524843316525,-107.39865381335095
7,TV_Lyn_02.fits,2012-12-24 07:44:38.95,07:34:23.10,+47:40:08.20,2456285.8226730325,2456285.8283945518,TV Lyn,2456285.8283945518,2456624.804213365,0.24065036129999998,3.3692460144678338e-06,0.4177856116402836,-338.9758188133128,-1408.5822143883597
35,TV_Lyn_03.fits,2012-12-24 08:18:29.07,07:34:23.80,+47:40:08.20,2456285.8461697917,2456285.8518917845,TV Lyn,2456285.8518917845,2456624.804213365,0.24065036129999998,3.3692460144678338e-06,0.5154261577615671,-338.95232158061117,-1408.4845738422384
35,TV_Lyn_03.fits,2012-12-24 08:18:29.07,07:34:23.80,+47:40:08.20,2456285.8461697917,2456285.8518917845,TV Lyn,2456285.8518917845,2456311.673919395,0.24065036129999998,3.3692460144678338e-06,0.6989867327703934,-25.822027610614896,-107.3010132672296
67,TV_Lyn_04.fits,2012-12-24 08:55:52.54,07:34:25.00,+47:40:08.20,2456285.8721358795,2456285.8778583533,TV Lyn,2456285.8778583533,2456311.673919395,0.24065036129999998,3.3692460144678338e-06,0.8068883735978147,-25.796061041764915,-107.19311162640219
67,TV_Lyn_04.fits,2012-12-24 08:55:52.54,07:34:25.00,+47:40:08.20,2456285.8721358795,2456285.8778583533,TV Lyn,2456285.8778583533,2456624.804213365,0.24065036129999998,3.3692460144678338e-06,0.6233277985891164,-338.9263550117612,-1408.3766722014109
74,TV_Lyn_05.fits,2012-12-24 09:32:10.21,07:34:26.00,+47:40:09.10,2456285.8973403936,2456285.9030633355,TV Lyn,2456285.9030633355,2456311.673919395,0.24065036129999998,3.3692460144678338e-06,0.9116253123114575,-25.77085605962202,-107.08837468768854
74,TV_Lyn_05.fits,2012-12-24 09:32:10.21,07:34:26.00,+47:40:09.10,2456285.8973403936,2456285.9030633355,TV Lyn,2456285.9030633355,2456624.804213365,0.24065036129999998,3.3692460144678338e-06,0.7280647373027023,-338.9011500296183,-1408.2719352626973
104,TV_Lyn_06.fits,2012-12-24 10:05:19.19,07:34:28.50,+47:40:12.60,2456285.9203609955,2456285.9260841925,TV Lyn,2456285.9260841925,2456311.673919395,0.24065036129999998,3.3692460144678338e-06,0.007286323952584439,-25.747835202608258,-106.99271367604742
104,TV_Lyn_06.fits,2012-12-24 10:05:19.19,07:34:28.50,+47:40:12.60,2456285.9203609955,2456285.9260841925,TV Lyn,2456285.9260841925,2456624.804213365,0.24065036129999998,3.3692460144678338e-06,0.8237257489438434,-338.87812917260453,-1408.1762742510562
114,TV_Lyn_07.fits,2012-12-28 06:21:01.40,07:34:23.60,+47:40:15.70,2456289.764599537,2456289.7703986457,TV Lyn,2456289.7703986457,2456311.673919395,0.24065036129999998,3.3692460144678338e-06,0.9819743835298169,-21.903520749416202,-91.01802561647018
114,TV_Lyn_07.fits,2012-12-28 06:21:01.40,07:34:23.60,+47:40:15.70,2456289.764599537,2456289.7703986457,TV Lyn,2456289.7703986457,2456624.804213365,0.24065036129999998,3.3692460144678338e-06,0.7984138085209906,-335.0338147194125,-1392.201586191479
54,TV_Lyn_08.fits,2012-12-28 07:34:57.45,07:34:24.30,+47:40:18.80,2456289.8159427084,2456289.8217426008,TV Lyn,2456289.8217426008,2456311.673919395,0.24065036129999998,3.3692460144678338e-06,0.19532937216237656,-21.85217679431662,-90.80467062783762
54,TV_Lyn_08.fits,2012-12-28 07:34:57.45,07:34:24.30,+47:40:18.80,2456289.8159427084,2456289.8217426008,TV Lyn,2456289.8217426008,2456624.804213365,0.24065036129999998,3.3692460144678338e-06,0.01176879715353607,-334.9824707643129,-1391.9882312028465
82,TV_Lyn_09.fits,2012-12-28 08:07:07.28,07:34:24.70,+47:40:13.0,2456289.838278704,2456289.8440790004,TV Lyn,2456289.8440790004,2456311.673919395,0.24065036129999998,3.3692460144678338e-06,0.2881461854332059,-21.82984039466828,-90.7118538145668
82,TV_Lyn_09.fits,2012-12-28 08:07:07.28,07:34:24.70,+47:40:13.0,2456289.838278704,2456289.8440790004,TV Lyn,2456289.8440790004,2456624.804213365,0.24065036129999998,3.3692460144678338e-06,0.1045856104244649,-334.96013436466455,-1391.8954143895755
101,TV_Lyn_10.fits,2012-12-28 08:40:14.94,07:34:25.80,+47:40:13.0,2456289.8612840283,2456289.867084625,TV Lyn,2456289.867084625,2456624.804213365,0.24065036129999998,3.3692460144678338e-06,0.2001833258948409,-334.93712873989716,-1391.7998166741052
101,TV_Lyn_10.fits,2012-12-28 08:40:14.94,07:34:25.80,+47:40:13.0,2456289.8612840283,2456289.867084625,TV Lyn,2456289.867084625,2456311.673919395,0.24065036129999998,3.3692460144678338e-06,0.38374390090353927,-21.806834769900888,-90.61625609909646
48,TW_Lyn_01.fits,2012-12-22 07:05:09.26,07:45:56.90,+42:58:52.30,2456283.7952460647,2456283.800988761,TW Lyn,2456283.800988761,2456606.875754271,0.481860696,2.0432426949193046e-06,0.5266283548648971,-323.07476551039144,-670.4733716451351
123,TW_Lyn_02.fits,2012-12-22 08:01:00.62,07:45:57.50,+42:59:05.10,2456283.8340349537,2456283.8397787157,TW Lyn,2456283.8397787157,2456606.875754271,0.481860696,2.0432426949193046e-06,0.6071287054637651,-323.03597555542365,-670.3928712945362
98,TW_Lyn_03.fits,2012-12-27 05:55:17.84,07:45:57.10,+42:58:51.90,2456288.746734259,2456288.7526141168,TW Lyn,2456288.7526141168,2456606.875754271,0.481860696,2.0432426949193046e-06,0.8026799131040434,-318.1231401544064,-660.197320086896
152,TW_Lyn_04.fits,2012-12-27 06:28:12.04,07:45:56.50,+42:58:52.30,2456288.769583796,2456288.775464264,TW Lyn,2456288.775464264,2456606.875754271,0.481860696,2.0432426949193046e-06,0.85010056317617,-318.10029000695795,-660.1498994368238
