,Unnamed: 0,file,ut_epoch,ra,dec,jd,bjd_x,star_match,spec_bjd,photo_bjd,T_final,err_tot,phasemod,baseline_time,baseline_div_period,my_spec_bjd,my_phase,spec_file,#,filenames,mjd,hjd,bjd_y,elapsed_bjd_since_spec_01,curve,period,GCVS,Note,ndl_spec_bjd,number_cur,star_name,#Name,Period,Mag_Max,Mag_Min,Amp,Ave(M),Ave(I),Epoch_Max,Epoch_Min,Factor,Method,Order,Npts,Sigmaclip,Dates,Phases,ndl_phase,ndl_time_baselines,ndl_baseline_div_period,error_my_phase
22,108,AV_Peg_07.fits,2013-07-25 10:17:00.98,21:52:49.10,+22:34:03.0,2456498.928483565,2456498.9331899458,AV Peg,2456498.9331899458,2456593.58904773,0.3903816816,6.505386482068921e-06,0.5299706782965075,-94.65585778420791,-242.4700293217035,56498.93318994576,0.5299706782965075,AV_Peg_07.fits,15,AV_Peg_07.fits,56498.42848356481,56498.9324146404,56498.93319631679,1.0632087934999999,AV_Peg_E.cur,0.39038150961651297,0.3903747,“Picked East just because they look nearly the same”,56498.93319631679,15,AV_Peg,AV_Peg_E.cur_15,0.39038150961651297,14.978,14.177,0.8009999999999999,14.655999999999999,14.712,2455123.410307,2455123.734648,1,Median,3,100,None,2456498.933196317,0.53494122,0.53494122,2398624.477110683,6144308.626366412,0.0015773612510562648
23,2,AV_Peg_08.fits,2013-07-26 08:03:17.91,21:52:45.40,+22:34:05.70,2456499.835623958,2456499.840374843,AV Peg,2456499.840374843,2456593.58904773,0.3903816816,6.505386482068921e-06,0.8538115248704798,-93.74867288675159,-240.14618847512955,56499.84037484322,0.8538115248704798,AV_Peg_08.fits,0,AV_Peg_08.fits,56499.3356239583,56499.8395987942,56499.840380494294,1.9703929709999999,AV_Peg_E.cur,0.39038150961651297,0.3903747,“Picked East just because they look nearly the same”,56499.840380494294,0,AV_Peg,AV_Peg_E.cur_0,0.39038150961651297,14.978,14.177,0.8009999999999999,14.655999999999999,14.712,2455123.410307,2455123.734648,1,Median,3,100,None,2456499.8403804945,0.85878125,0.85878125,2398623.5699265054,6144306.3025263855,0.0015622437682264831
24,31,AV_Peg_09.fits,2013-07-26 08:38:38.26,21:52:44.40,+22:34:05.70,2456499.860165046,2456499.8649172536,AV Peg,2456499.8649172536,2456593.58904773,0.3903816816,6.505386482068921e-06,0.9166792554763958,-93.72413047635928,-240.08332074452358,56499.86491725361,0.9166792554763958,AV_Peg_09.fits,5,AV_Peg_09.fits,56499.3601650463,56499.8641410543,56499.8649227551,1.9949352317,AV_Peg_E.cur,0.39038150961651297,0.3903747,“Picked East just because they look nearly the same”,56499.8649227551,5,AV_Peg,AV_Peg_E.cur_5,0.39038150961651297,14.978,14.177,0.8009999999999999,14.655999999999999,14.712,2455123.410307,2455123.734648,1,Median,3,100,None,2456499.8649227554,0.92164862,0.92164862,2398623.545384245,6144306.239659011,0.0015618347893416407
25,69,RU_Psc_11.fits,2013-07-25 09:34:19.36,01:15:15.40,+24:24:15.90,2456498.898835185,2456498.9001697702,RU Psc,2456498.9001697702,2456602.7204287453,,7.008262170222624e-06,,-103.82025897502899,,56498.90016977023,,RU_Psc_11.fits,31,RU_Psc_11.fits,56498.398835185195,56498.8994154685,56498.9001866993,213.22344079240003,RU_Psc_W.cur,0.390311023265007,0.390385,“Picked West because it was less scattered than East”,56498.9001866993,31,RU_Psc,RU_Psc_W.cur_31,0.390311023265007,14.578,14.202,0.376,14.384,14.404000000000002,2455539.22218,2455539.4323779996,1,Median,3,100,None,2456498.9001867,0.75199292,0.75199292,2399040.3219933007,6146483.64764333,
26,62,RU_Psc_12.fits,2013-07-25 09:52:26.48,01:15:15.20,+24:24:15.90,2456498.911417593,2456498.9127534376,RU Psc,2456498.9127534376,2456602.7204287453,,7.008262170222624e-06,,-103.80767530761659,,56498.912753437646,,RU_Psc_12.fits,30,RU_Psc_12.fits,56498.4114175926,56498.911999064105,56498.912770295305,213.23602438830002,RU_Psc_W.cur,0.390311023265007,0.390385,“Picked West because it was less scattered than East”,56498.912770295305,30,RU_Psc,RU_Psc_W.cur_30,0.390311023265007,14.578,14.202,0.376,14.384,14.404000000000002,2455539.22218,2455539.4323779996,1,Median,3,100,None,2456498.9127702955,0.78423284,0.78423284,2399040.3094097045,6146483.61540341,
27,38,RU_Psc_13.fits,2013-07-25 10:39:59.68,01:15:14.10,+24:24:14.20,2456498.944440741,2456498.94578011,RU Psc,2456498.94578011,2456602.7204287453,,7.008262170222624e-06,,-103.77464863518252,,56498.94578011008,,RU_Psc_13.fits,27,RU_Psc_13.fits,56498.444440740706,56498.9450253255,56498.945796557804,213.2690506508,RU_Psc_W.cur,0.390311023265007,0.390385,“Picked West because it was less scattered than East”,56498.945796557804,27,RU_Psc,RU_Psc_W.cur_27,0.390311023265007,14.578,14.202,0.376,14.384,14.404000000000002,2455539.22218,2455539.4323779996,1,Median,3,100,None,2456498.9457965577,0.86884809,0.86884809,2399040.2763834423,6146483.530788166,
28,16,RU_Psc_14.fits,2013-07-25 10:58:13.10,01:15:14.30,+24:24:16.30,2456498.957096065,2456498.958436532,RU Psc,2456498.958436532,2456602.7204287453,,7.008262170222624e-06,,-103.76199221331628,,56498.958436531946,,RU_Psc_14.fits,22,RU_Psc_14.fits,56498.457096064805,56498.9576818406,56498.9584530733,213.2817071663,RU_Psc_W.cur,0.390311023265007,0.390385,“Picked West because it was less scattered than East”,56498.9584530733,22,RU_Psc,RU_Psc_W.cur_22,0.390311023265007,14.578,14.202,0.376,14.384,14.404000000000002,2455539.22218,2455539.4323779996,1,Median,3,100,None,2456498.958453073,0.90127483,0.90127483,2399040.263726927,6146483.498361423,
29,12,RU_Psc_15.fits,2013-07-26 09:16:07.24,01:15:15.70,+24:24:41.0,2456499.886194908,2456499.887621676,RU Psc,2456499.887621676,2456602.7204287453,,7.008262170222624e-06,,-102.8328070691787,,56499.887621676084,,RU_Psc_15.fits,21,RU_Psc_15.fits,56499.386194907405,56499.8868676754,56499.887638938206,214.2108930313,RU_Psc_W.cur,0.390311023265007,0.390385,“Picked West because it was less scattered than East”,56499.887638938206,21,RU_Psc,RU_Psc_W.cur_21,0.390311023265007,14.578,14.202,0.376,14.384,14.404000000000002,2455539.22218,2455539.4323779996,1,Median,3,100,None,2456499.8876389386,0.28190415,0.28190415,2399039.334541062,6146481.117732105,
30,110,RU_Psc_16.fits,2013-07-26 09:35:26.65,01:15:14.20,+24:24:42.30,2456499.8996140044,2456499.9010425517,RU Psc,2456499.9010425517,2456602.7204287453,,7.008262170222624e-06,,-102.81938619352877,,56499.90104255173,,RU_Psc_16.fits,41,RU_Psc_16.fits,56499.3996140046,56499.9002880384,56499.9010593016,214.2243133947,RU_Psc_W.cur,0.390311023265007,0.390385,“Picked West because it was less scattered than East”,56499.9010593016,41,RU_Psc,RU_Psc_W.cur_41,0.390311023265007,14.578,14.202,0.376,14.384,14.404000000000002,2455539.22218,2455539.4323779996,1,Median,3,100,None,2456499.9010593016,0.31628791,0.31628791,2399039.3211206985,6146481.083348338,
31,102,RU_Psc_17.fits,2013-07-26 09:53:30.55,01:15:14.00,+24:24:42.30,2456499.912159144,2456499.913588945,RU Psc,2456499.913588945,2456602.7204287453,,7.008262170222624e-06,,-102.80683980043976,,56499.91358894482,,RU_Psc_17.fits,40,RU_Psc_17.fits,56499.412159143496,56499.9128343595,56499.9136056232,214.2368597162,RU_Psc_W.cur,0.390311023265007,0.390385,“Picked West because it was less scattered than East”,56499.9136056232,40,RU_Psc,RU_Psc_W.cur_40,0.390311023265007,14.578,14.202,0.376,14.384,14.404000000000002,2455539.22218,2455539.4323779996,1,Median,3,100,None,2456499.913605623,0.34843234,0.34843234,2399039.3085743766,6146481.051203917,
32,25,RU_Psc_18.fits,2013-07-26 10:11:37.48,01:15:14.40,+24:24:42.30,2456499.924739352,2456499.9261701982,RU Psc,2456499.9261701982,2456602.7204287453,,7.008262170222624e-06,,-102.79425854701547,,56499.92617019825,,RU_Psc_18.fits,26,RU_Psc_18.fits,56499.4247393519,56499.9254157523,56499.9261870164,214.24944110939998,RU_Psc_W.cur,0.390311023265007,0.390385,“Picked West because it was less scattered than East”,56499.9261870164,26,RU_Psc,RU_Psc_W.cur_26,0.390311023265007,14.578,14.202,0.376,14.384,14.404000000000002,2455539.22218,2455539.4323779996,1,Median,3,100,None,2456499.926187016,0.38066661,0.38066661,2399039.2959929835,6146481.018969641,
33,5,RU_Psc_19.fits,2013-07-26 10:30:45.35,01:15:13.20,+24:24:42.30,2456499.938024884,2456499.939457403,RU Psc,2456499.939457403,2456602.7204287453,,7.008262170222624e-06,,-102.78097134223208,,56499.93945740303,,RU_Psc_19.fits,18,RU_Psc_19.fits,56499.43802488429,56499.938702534404,56499.9394737989,214.2627278919,RU_Psc_W.cur,0.390311023265007,0.390385,“Picked West because it was less scattered than East”,56499.9394737989,18,RU_Psc,RU_Psc_W.cur_18,0.390311023265007,14.578,14.202,0.376,14.384,14.404000000000002,2455539.22218,2455539.4323779996,1,Median,3,100,None,2456499.939473799,0.41470814,0.41470814,2399039.282706201,6146480.984928116,
34,122,RU_Psc_20.fits,2013-07-26 10:48:50.86,01:15:14.00,+24:24:42.70,2456499.950588657,2456499.9520220733,RU Psc,2456499.9520220733,2456602.7204287453,,7.008262170222624e-06,,-102.76840667193756,,56499.952022073325,,RU_Psc_20.fits,43,RU_Psc_20.fits,56499.450588657404,56499.9512674881,56499.952038753,214.2752928461,RU_Psc_W.cur,0.390311023265007,0.390385,“Picked West because it was less scattered than East”,56499.952038753,43,RU_Psc,RU_Psc_W.cur_43,0.390311023265007,14.578,14.202,0.376,14.384,14.404000000000002,2455539.22218,2455539.4323779996,1,Median,3,100,None,2456499.9520387533,0.44690029,0.44690029,2399039.270141247,6146480.952735959,
35,92,RU_Psc_21.fits,2013-07-26 11:06:55.38,01:15:13.80,+24:24:43.60,2456499.9631409724,2456499.964575627,RU Psc,2456499.964575627,2456602.7204287453,,7.008262170222624e-06,,-102.75585311837494,,56499.96457562689,,RU_Psc_21.fits,38,RU_Psc_21.fits,56499.4631409722,56499.9638209813,56499.9645922466,214.28784633959998,RU_Psc_W.cur,0.390311023265007,0.390385,“Picked West because it was less scattered than East”,56499.9645922466,38,RU_Psc,RU_Psc_W.cur_38,0.390311023265007,14.578,14.202,0.376,14.384,14.404000000000002,2455539.22218,2455539.4323779996,1,Median,3,100,None,2456499.9645922463,0.47906309,0.47906309,2399039.2575877532,6146480.920573163,
36,20,RU_Psc_22.fits,2013-07-26 11:25:38.24,01:15:13.70,+24:24:44.90,2456499.976137037,2456499.977572931,RU Psc,2456499.977572931,2456602.7204287453,,7.008262170222624e-06,,-102.74285581428559,,56499.97757293098,,RU_Psc_22.fits,23,RU_Psc_22.fits,56499.476137037,56499.976818264804,56499.9775895305,214.3008436235,RU_Psc_W.cur,0.390311023265007,0.390385,“Picked West because it was less scattered than East”,56499.9775895305,23,RU_Psc,RU_Psc_W.cur_23,0.390311023265007,14.578,14.202,0.376,14.384,14.404000000000002,2455539.22218,2455539.4323779996,1,Median,3,100,None,2456499.9775895304,0.5123629,0.5123629,2399039.2445904696,6146480.887273351,
