orig_spec_file_name,feh_liu,error_feh_liu,feh_rrlfe,error_feh_rrlfe
spec-58398-HD011401N342933B01_sp07-009.dat,-1.979,0.057,-1.6868028081636697,0.0100761950996873
spec-56561-M31023N33B1_sp06-149.dat,-1.225,0.093,-1.688462805662032,0.010773193874606
spec-56561-M31023N33B2_sp06-149.dat,-1.225,0.093,-1.6633479424233242,0.0107302183674147
spec-55909-M31_019N31_B1_sp13-181.dat,-1.925,0.093,-1.8011406765002422,0.0102863427091643
spec-56561-M31023N33B1_sp08-049.dat,-1.925,0.093,-2.3465299669483213,0.0093863893307573
spec-56561-M31023N33B2_sp08-049.dat,-1.925,0.093,-2.2146037292949847,0.0097448095680869
spec-56570-VB021N31V1_sp13-181.dat,-1.925,0.093,-1.6471340437772777,0.0101445441331753
spec-57304-M31015N35M1_sp01-072.dat,-999.0,-999.0,0.9122806224475488,0.0264193032774768
spec-56561-M31023N33B1_sp14-127.dat,-1.613,0.173,-0.4557241510588376,0.009931044548557
spec-56561-M31023N33B1_sp14-150.dat,-999.0,-999.0,-1.1782109289942824,0.0096395461442917
spec-56976-HD005814N335703V01_sp09-238.dat,-1.1,0.076,-1.8297604858094616,0.011461359296831
spec-56287-VB016N33V1_sp15-145.dat,-1.1,0.076,-1.5424687470221072,0.0104147207405311
spec-58398-HD011401N342933B01_sp03-069.dat,-1.05,0.148,-1.3303632619877144,0.018050806311573
spec-57330-M31019N33M1_sp12-010.dat,-1.519,0.054,-0.972251115511787,0.0110621385023903
spec-58072-GACII020N36M1_sp01-137.dat,-1.519,0.054,-1.486589662502093,0.0206106041739544
spec-57330-M31019N33M1_sp12-063.dat,-1.491,0.089,-2.0127485596147365,0.0109562793422669
spec-57014-M31020N36B2_sp02-039.dat,-999.0,-999.0,-1.7534961070574189,0.0101938314633612
spec-57005-M31020N36B1_sp02-039.dat,-999.0,-999.0,-1.3916427721865918,0.0117391777127254
spec-57014-M31020N36B2_sp05-073.dat,-1.633,0.076,-2.0547560191546927,0.0101540072985898
spec-58398-HD011401N342933B01_sp12-170.dat,-1.633,0.076,-1.9893052514110596,0.010012242514925
spec-57005-M31020N36B1_sp05-073.dat,-1.633,0.076,-2.1157556914812714,0.0107325857424113
spec-58072-GACII020N36M1_sp05-073.dat,-1.633,0.076,-2.116329082328427,0.0106405645813869
spec-57014-M31020N36M2_sp06-153.dat,-1.367,0.122,-1.2550297199902445,0.0106410121407132
spec-57282-M31025N35B1_sp09-190.dat,-2.6,0.105,-2.6054263688269432,0.0124002053199655
spec-56972-HD015029N381811B01_sp01-248.dat,-2.6,0.105,-2.537513075476076,0.011006352663547
spec-56971-HD005814N335703B01_sp11-037.dat,-0.917,0.076,-0.9375271706860984,0.0096606820413756
spec-57014-M31020N36M2_sp08-030.dat,-999.0,-999.0,3.608126280820523,0.0579026622407602
spec-57325-M31016N38B2_sp07-236.dat,-2.353,0.068,-2.357535373402048,0.0103392101322276
spec-57378-HD010945N380728V01_sp05-094.dat,-2.466,0.082,-3.157969373356162,0.0281928206666955
spec-56255-VB016N38V2_sp07-236.dat,-2.466,0.082,-3.046808834394952,0.0205584115609879
spec-57325-M31016N38B1_sp07-236.dat,-2.466,0.082,-3.054783068354318,0.0219443566690837
spec-55924-M31_016N38_M1_sp01-088.dat,-1.511,0.11,1.5883389301693007,0.0284538564083385
spec-58094-GACII016N38M1_sp01-088.dat,-1.511,0.11,-1.349861390756209,0.0114492355721331
spec-56622-M310138M1_sp01-088.dat,-1.511,0.11,-1.4670923159519096,0.010254907575376
spec-57310-M31025N38B1_sp07-138.dat,-1.17,0.062,-1.7766321615189908,0.0111052936780128
spec-58072-GACII020N36M1_sp12-150.dat,-1.35,0.277,-2.083417600025442,0.0104935039031277
spec-57399-M31021N40B1_sp07-217.dat,-1.675,0.065,-1.2282229889203409,0.0108700702817148
spec-57393-M31025N38B2_sp03-082.dat,-1.675,0.065,-2.0046230222619843,0.0097898899919332
spec-57402-M31021N40B2_sp07-217.dat,-1.675,0.065,-1.817410288448188,0.0101521939115905
spec-57310-M31025N38B1_sp03-082.dat,-1.675,0.065,-1.9300372621868973,0.0111841987347144
spec-57393-M31025N38B2_sp03-153.dat,-999.0,-999.0,-1.6790489862350917,0.010141971367703
spec-57310-M31025N38B1_sp03-153.dat,-999.0,-999.0,-1.7870319536526993,0.0107706193858438
spec-57402-M31021N40B2_sp07-125.dat,-1.459,-999.0,-1.8700890621307733,0.0109249861163343
spec-57399-M31021N40B1_sp02-157.dat,-1.46,0.096,-1.8222591211309624,0.0101755988427948
spec-57378-HD010945N380728V01_sp13-157.dat,-2.033,0.076,-2.2582038531994963,0.0094720937630541
spec-56640-VB021N40V1_sp02-154.dat,-2.033,0.076,-2.3469721572234024,0.0093376528558706
spec-57402-M31021N40B2_sp05-187.dat,-2.3,0.076,-2.570115745589206,0.0080691606666004
spec-57314-HD012004N415813B01_sp01-017.dat,-2.3,0.076,-1.873534034486385,0.0104933080784919
spec-57314-HD012004N415813B01_sp02-111.dat,-1.4,0.059,-2.0525983557638945,0.0107315827907013
