,name_match,feh,err_feh,feh_mapped,err_feh_mapped
140,AG_Her,-2.01,0.35,-2.224754,0.39752896314734093
141,CW_Her,-2.09,0.07,-2.3144739999999997,0.10162700635657827
142,DL_Her,-1.32,0.11,-1.450919,0.1330035338214741
143,GY_Her,-1.92,0.1,-2.1238189999999997,0.12768253727115544
144,V394_Her,-1.48,0.15,-1.630359,0.17623762109436225
145,UU_Hor,-1.8,0.11,-1.989239,0.1365874504667248
146,SV_Hya,-1.7,0.27,-1.8770889999999998,0.3080621210486612
147,SZ_Hya,-1.75,0.09,-1.9331639999999999,0.11623496343613654
148,UU_Hya,-1.65,0.15,-1.821014,0.17720888444149746
149,WZ_Hya,-1.3,0.19,-1.4284890000000001,0.2187291192891335
150,XX_Hya,-1.33,0.07,-1.462134,0.09301155062141477
151,DD_Hya,-1.0,0.14,-1.092039,0.16323048152842043
152,DG_Hya,-1.42,0.17,-1.5630689999999998,0.19747688383453899
153,DH_Hya,-1.55,0.15,-1.708864,0.1766254158523059
154,ET_Hya,-1.69,0.15,-1.8658739999999998,0.17745191489809287
155,FX_Hya,-1.08,0.27,-1.181759,0.30625197574709623
156,FY_Hya,-2.33,0.2,-2.583634,0.23486142536397928
157,GL_Hya,-1.45,0.3,-1.596714,0.340443741901654
158,GO_Hya,-0.83,0.18,-0.901384,0.20625915161272237
159,GS_Hya,-1.76,0.13,-1.9443789999999999,0.1568487157773375
160,IV_Hya,-1.34,0.26,-1.473349,0.29585480796498814
161,TW_Hyi,-1.66,0.09,-1.8322289999999999,0.11538009846156312
162,V_Ind,-1.5,0.11,-1.6527889999999998,0.13422899547042733
163,VX_Ind,-0.91,0.22,-0.991104,0.2505131531397104
164,CQ_Lac,-2.04,0.16,-2.258399,0.1903431150738056
165,RR_Leo,-1.57,0.19,-1.731294,0.2198689657705243
166,RX_Leo,-1.38,0.15,-1.518209,0.1757133555794778
167,SS_Leo,-1.83,0.14,-2.022884,0.16780824301565164
168,ST_Leo,-1.29,0.22,-1.417274,0.2515873479648768
169,SU_Leo,-1.41,0.1,-1.5518539999999998,0.12331729439133832
170,SW_Leo,-1.45,0.1,-1.596714,0.12361618583340937
171,SZ_Leo,-1.86,0.15,-2.056529,0.1785456136705688
172,TV_Leo,-1.97,0.3,-2.179894,0.3421246760232299
173,WW_Leo,-1.48,0.23,-1.630359,0.2632407101665698
174,AA_Leo,-1.47,0.13,-1.619144,0.15491029103645762
175,AE_Leo,-1.71,0.11,-1.888304,0.13583933738427906
176,AN_Leo,-1.14,0.14,-1.2490489999999999,0.16382148832189264
177,AX_Leo,-2.28,0.23,-2.5275589999999997,0.26690131653665555
178,BT_Leo,-0.81,0.15,-0.878954,0.17340654572708608
179,DI_Leo,-1.9,0.07,-2.1013889999999997,0.09919149472106971
180,V_LMi,-1.15,0.37,-1.2602639999999998,0.4175976126907336
181,X_LMi,-1.68,0.17,-1.8546589999999998,0.19878913101324228
182,U_Lep,-1.93,0.15,-2.1350339999999997,0.1790242919522376
183,RY_Lib,-1.48,0.42,-1.630359,0.47395074571520607
184,TV_Lib,-0.27,0.52,-0.273344,0.5843738825135839
185,VY_Lib,-1.32,0.15,-1.450919,0.17541569886700561
186,XX_Lib,-1.47,0.1,-1.619144,0.1237684884936388
187,TW_Lyn,-1.23,0.25,-1.3499839999999999,0.2844874218467312
188,Y_Lyr,-1.03,0.07,-1.125684,0.09052278867224539
189,RR_Lyr,-1.37,0.08,-1.5069940000000002,0.10299256868337636
190,RZ_Lyr,-2.13,0.18,-2.3593339999999996,0.2121919256333756
191,CN_Lyr,-0.26,0.07,-0.262129,0.08691109158789805
192,CX_Lyr,-1.79,0.07,-1.978024,0.09786256782345332
193,FN_Lyr,-2.01,0.07,-2.224754,0.10058049483374
194,IO_Lyr,-1.52,0.11,-1.675219,0.13437407074655436
195,KX_Lyr,-0.46,0.2,-0.48642899999999994,0.22758272310524805
196,LX_Lyr,-1.42,0.47,-1.5630689999999998,0.5296106793192523
197,NR_Lyr,-2.42,0.27,-2.6845689999999998,0.31115281301797676
198,T_Men,-0.85,0.24,-0.9238139999999999,0.27250710761372815
199,RX_Men,-1.54,0.11,-1.697649,0.13452090796972788
200,TX_Men,-2.48,0.11,-2.751859,0.14329621519426114
201,UU_Men,-1.09,0.15,-1.192974,0.1743933921368582
202,Z_Mic,-1.28,0.2,-1.406059,0.2295961893063559
203,XZ_Mic,-1.22,0.15,-1.3387689999999999,0.1749479830378161
204,EM_Mus,-1.55,0.22,-1.708864,0.25253233416732995
205,Y_Oct,-1.52,0.1,-1.675219,0.12415752157642324
206,RS_Oct,-1.6,0.11,-1.764939,0.13497193347137026
207,RV_Oct,-1.34,0.25,-1.473349,0.28480779469845974
208,RY_Oct,-1.83,0.11,-2.022884,0.13684439904139298
209,SS_Oct,-1.6,0.11,-1.764939,0.13497193347137026
210,UV_Oct,-1.61,0.11,-1.776154,0.1350486299856463
211,UW_Oct,-0.49,0.11,-0.520074,0.129308608147331
212,XZ_Oct,-1.76,0.1,-1.9443789999999999,0.12618621206772157
213,AR_Oct,-0.51,0.18,-0.542504,0.20558743399342286
214,ST_Oph,-1.3,0.13,-1.4284890000000001,0.15392658128146677
215,V413_Oph,-1.0,0.15,-1.092039,0.17404511089082622
216,V445_Oph,-0.23,0.39,-0.22848399999999996,0.4389608834383765
217,V452_Oph,-1.72,0.07,-1.899519,0.09704929865279811
218,V455_Oph,-1.42,0.07,-1.5630689999999998,0.09386599836469008
219,V784_Oph,-1.8,0.11,-1.989239,0.1365874504667248
220,V816_Oph,-0.96,0.15,-1.0471789999999999,0.17389974146329257
221,V1023_Oph,-1.21,0.11,-1.327554,0.13232683772009363
222,V964_Ori,-1.89,0.13,-2.0901739999999998,0.15782157032864677
223,TX_Pav,-0.37,0.46,-0.38549399999999995,0.5172791359643263
224,TY_Pav,-2.31,0.22,-2.561204,0.25625226082124625
